Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.000155336, 9.4878e-05, 5.9801e-05, 3.357e-06, 505, 1479, 11
0.000138005, 7.8717e-05, 5.8466e-05, 3.418e-06, 492, 1432, 17
0.000286316, 0.000162853, 0.000122343, 1.917e-06, 505, 1517, 5
0.000551571, 0.000301769, 0.000245766, 8.35e-06, 490, 1548, 8
0.000286363, 0.000140576, 0.000144098, 3.374e-06, 507, 1452, 7
0.000800369, 0.00048139, 0.000311667, 9.338e-06, 513, 1548, 15
0.000285497, 0.000164193, 0.000120237, 3.102e-06, 512, 1558, 9
0.00123018, 0.000799494, 0.000422458, 1.0711e-05, 506, 1464, 10
0.000240909, 0.000144354, 9.5322e-05, 3.007e-06, 500, 1563, 12
0.000703014, 0.000253369, 0.000448057, 1.5393e-05, 515, 1619, 9
0.000143504, 8.7012e-05, 5.5833e-05, 3.183e-06, 505, 1468, 10
0.000230165, 0.000144542, 8.4162e-05, 2.349e-06, 520, 1533, 10
0.000288443, 0.00015096, 0.000136083, 4.145e-06, 510, 1577, 12
0.00044966, 0.000273612, 0.000165193, 3.678e-06, 516, 1501, 5
0.000404963, 0.000280352, 0.000119129, 1.418e-06, 500, 1451, 4
0.000679674, 0.000395589, 0.000280667, 7.868e-06, 514, 1564, 8
0.000359093, 0.000185161, 0.000171409, 5.478e-06, 514, 1557, 13
0.000389154, 0.000158824, 0.000228507, 6.058e-06, 524, 1536, 9
0.000147389, 9.1974e-05, 5.4338e-05, 2.161e-06, 508, 1523, 12
0.00023279, 0.000140927, 9.0564e-05, 8.872e-06, 511, 1577, 9
0.000147245, 8.9037e-05, 5.749e-05, 1.837e-06, 513, 1608, 9
0.000153167, 9.7521e-05, 5.4478e-05, 2.211e-06, 510, 1473, 8
0.000241622, 0.0001224, 0.000118553, 4.913e-06, 525, 1501, 13
0.000376334, 0.000197033, 0.000177998, 4.441e-06, 520, 1372, 13
0.000291462, 0.000157591, 0.000132025, 5.432e-06, 528, 1374, 20
0.000430961, 0.00026823, 0.000160476, 7.203e-06, 571, 918, 13
0.000225975, 0.000136592, 8.809e-05, 4.113e-06, 584, 1217, 14
0.000457324, 0.000218466, 0.000236755, 6.892e-06, 598, 1642, 19
0.000290425, 0.000162795, 0.000126187, 4.417e-06, 591, 1643, 19
0.000598561, 0.000312149, 0.00028477, 1.1558e-05, 585, 1701, 22
0.000330778, 0.00022083, 0.000107897, 3.324e-06, 603, 1613, 13
